,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
74,Tamil Nadu,ARIYALUR,2011,Whole Year,Coconut,323.0,2600000.0
75,Tamil Nadu,ARIYALUR,2011,Whole Year,Coriander,75.0,35.0
76,Tamil Nadu,ARIYALUR,2011,Whole Year,Dry chillies,735.0,509.0
77,Tamil Nadu,ARIYALUR,2011,Whole Year,Moong(Green Gram),6.0,4.0
78,Tamil Nadu,ARIYALUR,2011,Whole Year,Onion,26.0,329.0
79,Tamil Nadu,ARIYALUR,2011,Whole Year,Small millets,259.0,705.0
80,Tamil Nadu,ARIYALUR,2011,Whole Year,Sugarcane,7967.0,880259.0
81,Tamil Nadu,ARIYALUR,2011,Whole Year,Sunflower,228.0,418.0
82,Tamil Nadu,ARIYALUR,2011,Whole Year,Tapioca,273.0,10282.0
83,Tamil Nadu,ARIYALUR,2011,Whole Year,Turmeric,100.0,548.0
84,Tamil Nadu,ARIYALUR,2011,Whole Year,Urad,1496.0,1163.0
85,Tamil Nadu,ARIYALUR,2012,Kharif,Arhar/Tur,99.0,78.0
86,Tamil Nadu,ARIYALUR,2012,Kharif,Castor seed,65.0,14.0
87,Tamil Nadu,ARIYALUR,2012,Kharif,Cotton(lint),8634.0,15664.0
88,Tamil Nadu,ARIYALUR,2012,Kharif,Groundnut,9108.0,23014.0
89,Tamil Nadu,ARIYALUR,2012,Kharif,Horse-gram,1.0,841.0
90,Tamil Nadu,ARIYALUR,2012,Kharif,Maize,14743.0,35469.0
91,Tamil Nadu,ARIYALUR,2012,Kharif,Moong(Green Gram),2.0,1.0
92,Tamil Nadu,ARIYALUR,2012,Kharif,Ragi,8.0,15.0
93,Tamil Nadu,ARIYALUR,2012,Kharif,Rice,17523.0,36392.0
94,Tamil Nadu,ARIYALUR,2012,Kharif,Sunflower,754.0,922.0
95,Tamil Nadu,ARIYALUR,2012,Kharif,Urad,1703.0,924.0
96,Tamil Nadu,ARIYALUR,2012,Whole Year,Sugarcane,7804.0,707584.0
97,Tamil Nadu,ARIYALUR,2013,Kharif,Bajra,777.0,2888.0
98,Tamil Nadu,ARIYALUR,2013,Kharif,Castor seed,31.0,10.0
99,Tamil Nadu,ARIYALUR,2013,Kharif,Cotton(lint),8815.0,29867.0
100,Tamil Nadu,ARIYALUR,2013,Kharif,Groundnut,6436.0,21168.0
101,Tamil Nadu,ARIYALUR,2013,Kharif,Horse-gram,1.0,841.0
102,Tamil Nadu,ARIYALUR,2013,Kharif,Jowar,809.0,1004.0
103,Tamil Nadu,ARIYALUR,2013,Kharif,Maize,17153.0,91257.0
104,Tamil Nadu,ARIYALUR,2013,Kharif,Moong(Green Gram),23.0,13.0
105,Tamil Nadu,ARIYALUR,2013,Kharif,Onion,36.0,419.0
106,Tamil Nadu,ARIYALUR,2013,Kharif,Ragi,38.0,104.0
107,Tamil Nadu,ARIYALUR,2013,Kharif,Rice,24437.0,131658.0
108,Tamil Nadu,ARIYALUR,2013,Kharif,Sunflower,76.0,137.0
109,Tamil Nadu,ARIYALUR,2013,Kharif,Urad,1951.0,1639.0
110,Tamil Nadu,ARIYALUR,2013,Rabi,Bajra,95.0,190.0
111,Tamil Nadu,ARIYALUR,2013,Rabi,Cotton(lint),303.0,727.0
112,Tamil Nadu,ARIYALUR,2013,Rabi,Groundnut,3571.0,21760.0
113,Tamil Nadu,ARIYALUR,2013,Rabi,Horse-gram,1.0,1.0
114,Tamil Nadu,ARIYALUR,2013,Rabi,Jowar,63.0,136.0
115,Tamil Nadu,ARIYALUR,2013,Rabi,Maize,615.0,3076.0
116,Tamil Nadu,ARIYALUR,2013,Rabi,Onion,7.0,59.0
117,Tamil Nadu,ARIYALUR,2013,Rabi,Ragi,11.0,44.0
118,Tamil Nadu,ARIYALUR,2013,Rabi,Sunflower,1.0,1.0
119,Tamil Nadu,ARIYALUR,2013,Rabi,Urad,1485.0,1267.0
120,Tamil Nadu,ARIYALUR,2013,Whole Year,Arhar/Tur,236.0,228.0
121,Tamil Nadu,ARIYALUR,2013,Whole Year,Banana,131.0,5441.0
122,Tamil Nadu,ARIYALUR,2013,Whole Year,Cashewnut,30152.0,6600.0
123,Tamil Nadu,ARIYALUR,2013,Whole Year,Coconut,331.0,1700000.0
124,Tamil Nadu,ARIYALUR,2013,Whole Year,Coriander,14.0,5.0
125,Tamil Nadu,ARIYALUR,2013,Whole Year,Dry chillies,212.0,58.0
126,Tamil Nadu,ARIYALUR,2013,Whole Year,Small millets,187.0,491.0
127,Tamil Nadu,ARIYALUR,2013,Whole Year,Sugarcane,9875.0,1112304.0
128,Tamil Nadu,ARIYALUR,2013,Whole Year,Tapioca,189.0,5655.0
129,Tamil Nadu,ARIYALUR,2013,Whole Year,Turmeric,61.0,224.0
130,Tamil Nadu,COIMBATORE,1997,Kharif,Banana,5619.0,183740.0
131,Tamil Nadu,COIMBATORE,1997,Kharif,Horse-gram,6849.0,3040.0
132,Tamil Nadu,COIMBATORE,1997,Kharif,Onion,2813.0,37188.0
133,Tamil Nadu,COIMBATORE,1997,Kharif,Sesamum,1598.0,580.0
134,Tamil Nadu,COIMBATORE,1997,Kharif,Small millets,63.0,50.0
135,Tamil Nadu,COIMBATORE,1997,Kharif,Tobacco,936.0,1620.0
136,Tamil Nadu,COIMBATORE,1997,Whole Year,Arhar/Tur,1393.0,700.0
137,Tamil Nadu,COIMBATORE,1997,Whole Year,Bajra,518.0,910.0
138,Tamil Nadu,COIMBATORE,1997,Whole Year,Banana,7269.0,285930.0
139,Tamil Nadu,COIMBATORE,1997,Whole Year,Black pepper,131.0,30.0
140,Tamil Nadu,COIMBATORE,1997,Whole Year,Cardamom,834.0,70.0
141,Tamil Nadu,COIMBATORE,1997,Whole Year,Cashewnut,63.0,40.0
142,Tamil Nadu,COIMBATORE,1997,Whole Year,Castor seed,199.0,70.0
143,Tamil Nadu,COIMBATORE,1997,Whole Year,Coriander,709.0,130.0
144,Tamil Nadu,COIMBATORE,1997,Whole Year,Cotton(lint),16858.0,30610.0
145,Tamil Nadu,COIMBATORE,1997,Whole Year,Dry chillies,2350.0,1430.0
146,Tamil Nadu,COIMBATORE,1997,Whole Year,Gram,4481.0,3320.0
147,Tamil Nadu,COIMBATORE,1997,Whole Year,Groundnut,33861.0,43150.0
148,Tamil Nadu,COIMBATORE,1997,Whole Year,Jowar,89773.0,65140.0
149,Tamil Nadu,COIMBATORE,1997,Whole Year,Maize,15763.0,17720.0
150,Tamil Nadu,COIMBATORE,1997,Whole Year,Moong(Green Gram),4526.0,1480.0
151,Tamil Nadu,COIMBATORE,1997,Whole Year,Onion,1680.0,20960.0
152,Tamil Nadu,COIMBATORE,1997,Whole Year,Pulses total,34941.0,13110.0
153,Tamil Nadu,COIMBATORE,1997,Whole Year,Ragi,401.0,800.0
154,Tamil Nadu,COIMBATORE,1997,Whole Year,Rice,18703.0,57670.0
155,Tamil Nadu,COIMBATORE,1997,Whole Year,Sugarcane,10756.0,12272000.0
156,Tamil Nadu,COIMBATORE,1997,Whole Year,Sunflower,457.0,460.0
157,Tamil Nadu,COIMBATORE,1997,Whole Year,Tapioca,1320.0,49510.0
158,Tamil Nadu,COIMBATORE,1997,Whole Year,Tobacco,844.0,1250.0
159,Tamil Nadu,COIMBATORE,1997,Whole Year,Total foodgrain,160230.0,155430.0
160,Tamil Nadu,COIMBATORE,1997,Whole Year,Turmeric,2024.0,16960.0
161,Tamil Nadu,COIMBATORE,1997,Whole Year,Urad,3085.0,1440.0
162,Tamil Nadu,COIMBATORE,1998,Kharif,Arhar/Tur,2312.0,1998.0
163,Tamil Nadu,COIMBATORE,1998,Kharif,Bajra,244.0,511.0
164,Tamil Nadu,COIMBATORE,1998,Kharif,Cotton(lint),15370.0,32294.0
165,Tamil Nadu,COIMBATORE,1998,Kharif,Groundnut,39937.0,69248.0
166,Tamil Nadu,COIMBATORE,1998,Kharif,Horse-gram,7231.0,3030.0
167,Tamil Nadu,COIMBATORE,1998,Kharif,Jowar,88370.0,64470.0
168,Tamil Nadu,COIMBATORE,1998,Kharif,Maize,18828.0,21163.0
169,Tamil Nadu,COIMBATORE,1998,Kharif,Moong(Green Gram),7116.0,3899.0
170,Tamil Nadu,COIMBATORE,1998,Kharif,Pulses total,43420.0,20310.0
171,Tamil Nadu,COIMBATORE,1998,Kharif,Ragi,510.0,1271.0
172,Tamil Nadu,COIMBATORE,1998,Kharif,Rice,15034.0,51575.0
173,Tamil Nadu,COIMBATORE,1998,Kharif,Sesamum,1106.0,423.0
174,Tamil Nadu,COIMBATORE,1998,Kharif,Small millets,4600.0,3400.0
175,Tamil Nadu,COIMBATORE,1998,Kharif,Sunflower,191.0,197.0
176,Tamil Nadu,COIMBATORE,1998,Kharif,Total foodgrain,167323.0,15962.0
177,Tamil Nadu,COIMBATORE,1998,Kharif,Urad,10191.0,4983.0
178,Tamil Nadu,COIMBATORE,1998,Rabi,Gram,4164.0,3981.0
179,Tamil Nadu,COIMBATORE,1998,Rabi,Wheat,20.0,1.0
180,Tamil Nadu,COIMBATORE,1998,Whole Year,Banana,6189.0,243451.0
181,Tamil Nadu,COIMBATORE,1998,Whole Year,Black pepper,130.0,26.0
182,Tamil Nadu,COIMBATORE,1998,Whole Year,Cardamom,833.0,68.0
183,Tamil Nadu,COIMBATORE,1998,Whole Year,Castor seed,174.0,60.0
184,Tamil Nadu,COIMBATORE,1998,Whole Year,Coriander,822.0,150.0
185,Tamil Nadu,COIMBATORE,1998,Whole Year,Dry chillies,1980.0,1202.0
186,Tamil Nadu,COIMBATORE,1998,Whole Year,Onion,3093.0,38591.0
187,Tamil Nadu,COIMBATORE,1998,Whole Year,Sannhamp,1.0,1.0
188,Tamil Nadu,COIMBATORE,1998,Whole Year,Sugarcane,13193.0,1467460.0
189,Tamil Nadu,COIMBATORE,1998,Whole Year,Tapioca,1526.0,56679.0
190,Tamil Nadu,COIMBATORE,1998,Whole Year,Tobacco,461.0,687.0
191,Tamil Nadu,COIMBATORE,1998,Whole Year,Turmeric,2652.0,22221.0
192,Tamil Nadu,COIMBATORE,1999,Kharif,Arhar/Tur,961.0,635.0
193,Tamil Nadu,COIMBATORE,1999,Kharif,Bajra,670.0,1376.0
194,Tamil Nadu,COIMBATORE,1999,Kharif,Castor seed,3771.0,1365.0
195,Tamil Nadu,COIMBATORE,1999,Kharif,Cotton(lint),7627.0,12264.0
196,Tamil Nadu,COIMBATORE,1999,Kharif,Groundnut,36123.0,55110.0
197,Tamil Nadu,COIMBATORE,1999,Kharif,Horse-gram,7884.0,2985.0
198,Tamil Nadu,COIMBATORE,1999,Kharif,Jowar,87539.0,43978.0
199,Tamil Nadu,COIMBATORE,1999,Kharif,Korra,2.0,1.0
200,Tamil Nadu,COIMBATORE,1999,Kharif,Maize,19841.0,22328.0
201,Tamil Nadu,COIMBATORE,1999,Kharif,Moong(Green Gram),6400.0,3104.0
202,Tamil Nadu,COIMBATORE,1999,Kharif,Ragi,419.0,449.0
203,Tamil Nadu,COIMBATORE,1999,Kharif,Rice,16875.0,60494.0
204,Tamil Nadu,COIMBATORE,1999,Kharif,Sesamum,1100.0,521.0
205,Tamil Nadu,COIMBATORE,1999,Kharif,Sunflower,978.0,984.0
206,Tamil Nadu,COIMBATORE,1999,Kharif,Urad,5178.0,2682.0
207,Tamil Nadu,COIMBATORE,1999,Rabi,Gram,5030.0,3723.0
208,Tamil Nadu,COIMBATORE,1999,Rabi,Samai,134.0,73.0
209,Tamil Nadu,COIMBATORE,1999,Rabi,Wheat,9.0,4.0
210,Tamil Nadu,COIMBATORE,1999,Whole Year,Banana,5619.0,183740.0
211,Tamil Nadu,COIMBATORE,1999,Whole Year,Cashewnut,36.0,11.0
212,Tamil Nadu,COIMBATORE,1999,Whole Year,Coriander,324.0,59.0
213,Tamil Nadu,COIMBATORE,1999,Whole Year,Dry chillies,1418.0,1235.0
214,Tamil Nadu,COIMBATORE,1999,Whole Year,Guar seed,11939.0,118374.0
215,Tamil Nadu,COIMBATORE,1999,Whole Year,Onion,2813.0,37188.0
216,Tamil Nadu,COIMBATORE,1999,Whole Year,Sugarcane,11939.0,1195037.0
217,Tamil Nadu,COIMBATORE,1999,Whole Year,Sweet potato,2.0,24.0
218,Tamil Nadu,COIMBATORE,1999,Whole Year,Tapioca,834.0,29595.0
219,Tamil Nadu,COIMBATORE,1999,Whole Year,Tobacco,936.0,1620.0
220,Tamil Nadu,COIMBATORE,1999,Whole Year,Turmeric,3023.0,19346.0
221,Tamil Nadu,COIMBATORE,2000,Kharif,Arhar/Tur,632.0,418.0
222,Tamil Nadu,COIMBATORE,2000,Kharif,Bajra,307.0,479.0
223,Tamil Nadu,COIMBATORE,2000,Kharif,Castor seed,242.0,88.0
224,Tamil Nadu,COIMBATORE,2000,Kharif,Cotton(lint),6674.0,10987.0
225,Tamil Nadu,COIMBATORE,2000,Kharif,Groundnut,20169.0,27436.0
226,Tamil Nadu,COIMBATORE,2000,Kharif,Horse-gram,4859.0,1809.0
227,Tamil Nadu,COIMBATORE,2000,Kharif,Jowar,74450.0,35650.0
228,Tamil Nadu,COIMBATORE,2000,Kharif,Maize,18075.0,20341.0
229,Tamil Nadu,COIMBATORE,2000,Kharif,Moong(Green Gram),5292.0,2397.0
230,Tamil Nadu,COIMBATORE,2000,Kharif,Other Cereals & Millets,10.0,6.0
231,Tamil Nadu,COIMBATORE,2000,Kharif,Other Kharif pulses,12066.0,2582.0
232,Tamil Nadu,COIMBATORE,2000,Kharif,Ragi,295.0,305.0
233,Tamil Nadu,COIMBATORE,2000,Kharif,Rice,12170.0,47066.0
234,Tamil Nadu,COIMBATORE,2000,Kharif,Sesamum,800.0,382.0
235,Tamil Nadu,COIMBATORE,2000,Kharif,Sunflower,145.0,153.0
236,Tamil Nadu,COIMBATORE,2000,Kharif,Urad,3716.0,1925.0
237,Tamil Nadu,COIMBATORE,2000,Rabi,Gram,2297.0,1700.0
238,Tamil Nadu,COIMBATORE,2000,Rabi,Rapeseed &Mustard,6.0,1.0
239,Tamil Nadu,COIMBATORE,2000,Rabi,Wheat,8.0,4.0
240,Tamil Nadu,COIMBATORE,2000,Whole Year,Banana,7050.0,230533.0
241,Tamil Nadu,COIMBATORE,2000,Whole Year,Cardamom,6.0,841.0
242,Tamil Nadu,COIMBATORE,2000,Whole Year,Cashewnut,43.0,17.0
243,Tamil Nadu,COIMBATORE,2000,Whole Year,Coriander,294.0,53.0
244,Tamil Nadu,COIMBATORE,2000,Whole Year,Dry chillies,1716.0,1653.0
245,Tamil Nadu,COIMBATORE,2000,Whole Year,Onion,4450.0,58829.0
246,Tamil Nadu,COIMBATORE,2000,Whole Year,Sannhamp,5.0,4.0
247,Tamil Nadu,COIMBATORE,2000,Whole Year,Sugarcane,11167.0,1117764.0
248,Tamil Nadu,COIMBATORE,2000,Whole Year,Tapioca,1236.0,43860.0
249,Tamil Nadu,COIMBATORE,2000,Whole Year,Tobacco,601.0,1040.0
250,Tamil Nadu,COIMBATORE,2000,Whole Year,Turmeric,4178.0,26062.0
251,Tamil Nadu,COIMBATORE,2001,Kharif,Arhar/Tur,563.0,370.0
252,Tamil Nadu,COIMBATORE,2001,Kharif,Bajra,236.0,450.0
253,Tamil Nadu,COIMBATORE,2001,Kharif,Cotton(lint),10220.0,14650.0
254,Tamil Nadu,COIMBATORE,2001,Kharif,Groundnut,19152.0,29100.0
255,Tamil Nadu,COIMBATORE,2001,Kharif,Jowar,75752.0,29680.0
256,Tamil Nadu,COIMBATORE,2001,Kharif,Moong(Green Gram),4420.0,1260.0
257,Tamil Nadu,COIMBATORE,2001,Kharif,Ragi,233.0,420.0
258,Tamil Nadu,COIMBATORE,2001,Kharif,Rice,10548.0,37200.0
259,Tamil Nadu,COIMBATORE,2001,Kharif,Sesamum,914.0,460.0
260,Tamil Nadu,COIMBATORE,2001,Kharif,Sunflower,45.0,60.0
261,Tamil Nadu,COIMBATORE,2001,Kharif,Urad,1839.0,720.0
262,Tamil Nadu,COIMBATORE,2001,Whole Year,Sugarcane,13438.0,1496800.0
263,Tamil Nadu,COIMBATORE,2002,Kharif,Arhar/Tur,468.0,255.0
264,Tamil Nadu,COIMBATORE,2002,Kharif,Bajra,624.0,684.0
265,Tamil Nadu,COIMBATORE,2002,Kharif,Castor seed,168.0,62.0
266,Tamil Nadu,COIMBATORE,2002,Kharif,Cotton(lint),5103.0,3024.0
267,Tamil Nadu,COIMBATORE,2002,Kharif,Groundnut,13131.0,12376.0
268,Tamil Nadu,COIMBATORE,2002,Kharif,Horse-gram,5794.0,1171.0
269,Tamil Nadu,COIMBATORE,2002,Kharif,Jowar,80595.0,23240.0
270,Tamil Nadu,COIMBATORE,2002,Kharif,Korra,1.0,1.0
271,Tamil Nadu,COIMBATORE,2002,Kharif,Maize,18242.0,20520.0
272,Tamil Nadu,COIMBATORE,2002,Kharif,Moong(Green Gram),4238.0,699.0
273,Tamil Nadu,COIMBATORE,2002,Kharif,Other Kharif pulses,12702.0,2721.0
274,Tamil Nadu,COIMBATORE,2002,Kharif,Ragi,198.0,264.0
275,Tamil Nadu,COIMBATORE,2002,Kharif,Rice,6577.0,22152.0
276,Tamil Nadu,COIMBATORE,2002,Kharif,Samai,24.0,17.0
277,Tamil Nadu,COIMBATORE,2002,Kharif,Sesamum,525.0,177.0
278,Tamil Nadu,COIMBATORE,2002,Kharif,Sunflower,10.0,12.0
279,Tamil Nadu,COIMBATORE,2002,Kharif,Urad,2083.0,831.0
280,Tamil Nadu,COIMBATORE,2002,Kharif,Varagu,1.0,1.0
281,Tamil Nadu,COIMBATORE,2002,Rabi,Gram,4113.0,3046.0
282,Tamil Nadu,COIMBATORE,2002,Rabi,Wheat,6.0,0.0
283,Tamil Nadu,COIMBATORE,2002,Whole Year,Arecanut,1589.0,841.0
284,Tamil Nadu,COIMBATORE,2002,Whole Year,Ash Gourd,67.0,0.0
285,Tamil Nadu,COIMBATORE,2002,Whole Year,Banana,6499.0,212533.0
286,Tamil Nadu,COIMBATORE,2002,Whole Year,Beans & Mutter(Vegetable),2.0,0.0
287,Tamil Nadu,COIMBATORE,2002,Whole Year,Beet Root,265.0,0.0
288,Tamil Nadu,COIMBATORE,2002,Whole Year,Bhindi,392.0,5017.0
289,Tamil Nadu,COIMBATORE,2002,Whole Year,Bitter Gourd,182.0,0.0
290,Tamil Nadu,COIMBATORE,2002,Whole Year,Bottle Gourd,12.0,0.0
291,Tamil Nadu,COIMBATORE,2002,Whole Year,Brinjal,621.0,6413.0
292,Tamil Nadu,COIMBATORE,2002,Whole Year,Cashewnut,243.0,73.0
293,Tamil Nadu,COIMBATORE,2002,Whole Year,Cauliflower,59.0,0.0
294,Tamil Nadu,COIMBATORE,2002,Whole Year,Citrus Fruit,56.0,62.0
295,Tamil Nadu,COIMBATORE,2002,Whole Year,Coconut,99250.0,630000.0
296,Tamil Nadu,COIMBATORE,2002,Whole Year,Coriander,680.0,323.0
297,Tamil Nadu,COIMBATORE,2002,Whole Year,Cucumber,33.0,0.0
298,Tamil Nadu,COIMBATORE,2002,Whole Year,Drum Stick,45.0,0.0
299,Tamil Nadu,COIMBATORE,2002,Whole Year,Dry chillies,1265.0,654.0
300,Tamil Nadu,COIMBATORE,2002,Whole Year,Garlic,2.0,11.0
301,Tamil Nadu,COIMBATORE,2002,Whole Year,Grapes,368.0,6782.0
302,Tamil Nadu,COIMBATORE,2002,Whole Year,Jack Fruit,13.0,147.0
303,Tamil Nadu,COIMBATORE,2002,Whole Year,Lab-Lab,119.0,0.0
304,Tamil Nadu,COIMBATORE,2002,Whole Year,Mango,3848.0,28864.0
305,Tamil Nadu,COIMBATORE,2002,Whole Year,Onion,1970.0,26248.0
306,Tamil Nadu,COIMBATORE,2002,Whole Year,Orange,18.0,28.0
307,Tamil Nadu,COIMBATORE,2002,Whole Year,Other Citrus Fruit,162.0,0.0
308,Tamil Nadu,COIMBATORE,2002,Whole Year,Other Fresh Fruits,325.0,0.0
309,Tamil Nadu,COIMBATORE,2002,Whole Year,Other Vegetables,626.0,0.0
310,Tamil Nadu,COIMBATORE,2002,Whole Year,Papaya,149.0,0.0
311,Tamil Nadu,COIMBATORE,2002,Whole Year,Pome Fruit,172.0,900.0
312,Tamil Nadu,COIMBATORE,2002,Whole Year,Pome Granet,51.0,0.0
313,Tamil Nadu,COIMBATORE,2002,Whole Year,Redish,9.0,0.0
314,Tamil Nadu,COIMBATORE,2002,Whole Year,Ribed Guard,78.0,0.0
315,Tamil Nadu,COIMBATORE,2002,Whole Year,Snak Guard,85.0,0.0
316,Tamil Nadu,COIMBATORE,2002,Whole Year,Sugarcane,9623.0,830060.0
317,Tamil Nadu,COIMBATORE,2002,Whole Year,Tapioca,518.0,15576.0
318,Tamil Nadu,COIMBATORE,2002,Whole Year,Tomato,4409.0,56986.0
319,Tamil Nadu,COIMBATORE,2002,Whole Year,Turmeric,1453.0,7620.0
320,Tamil Nadu,COIMBATORE,2002,Whole Year,Water Melon,32.0,0.0
321,Tamil Nadu,COIMBATORE,2002,Whole Year,Yam,5.0,0.0
322,Tamil Nadu,COIMBATORE,2003,Kharif,Arhar/Tur,342.0,209.0
323,Tamil Nadu,COIMBATORE,2003,Kharif,Bajra,500.0,575.0
324,Tamil Nadu,COIMBATORE,2003,Kharif,Castor seed,205.0,76.0
325,Tamil Nadu,COIMBATORE,2003,Kharif,Cotton(lint),6881.0,8600.0
326,Tamil Nadu,COIMBATORE,2003,Kharif,Groundnut,16629.0,14937.0
